5 胶抛捞瘤,各 1,各 2,各 3,各 4,各 5,0
,3,2,0,1,1,0 ~ 10
,3,2,0,1,1,10 ~ 20
,3,2,1,1,1,20 ~ 30
,6,4,0,3,1,30 ~ 40
,3,2,0,1,1,40 ~ 50
,4,3,1,2,1,50 ~ 60
,4,3,0,2,1,60 ~ 70
,4,3,0,2,1,70 ~ 80
,4,3,1,2,1,80 ~ 90
,7,5,0,4,2,90 ~ 100
,4,3,0,2,1,100 ~ 110
,6,4,1,3,1,110 ~ 120
,7,5,1,4,2,120 ~ 130
,7,5,1,4,2,130 ~ 140
,7,5,1,4,2,140 ~ 150
,10,7,2,6,3,150 ~ 160
,6,4,0,3,1,160 ~ 170
,9,6,1,5,2,170 ~ 180
,6,4,0,3,1,180 ~ 190
,6,4,0,3,1,190 ~ 200
,6,4,1,3,1,200 ~ 210
,9,6,0,5,2,210 ~ 220
,4,3,0,2,1,220 ~ 230
,7,5,1,4,2,230 ~ 240
,8,5,1,4,2,240 ~ 250
,8,5,1,4,2,250 ~ 260
,8,5,2,4,2,260 ~ 270
,12,7,2,6,3,270 ~ 280
,6,4,0,3,1,280 ~ 290
,10,6,1,5,2,290 ~ 300
